movie分类,#genre#
千禧经典,http://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8zzhed
CHC动作电影,http://iptv.diyp.tech/iptv.php?key=gat5&id=afa18d2457e898b11f48f7764c61d4cc
CHC家庭影院,http://iptv.diyp.tech/iptv.php?key=gat5&id=b0f988110099cf6a8405d8aacc0ec1c4
龙华电影,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
靖天电影,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
靖天电影,https://aktv.top/AKTV/live/aktv/null6/AKTV.m3u8
龙华经典,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
CHC动作电影,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265218967&sign=5dbd155ef0e97bfa309a48f691763ec0
CHC家庭影院,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265667645&sign=5dbd155ef0e97bfa309a48f691763ec0
1905国外电影,http://php.jdshipin.com:8880/1905.php?id=1905dy2
经典老歌DJ舞曲串烧708090后,https://vd3.bdstatic.com/mda-ihps4033ktcz7mfq/sc/mda-ihps4033ktcz7mfq.mp4
1905国内电影,http://php.jdshipin.com:8880/1905.php?id=1905dy
经典老歌伤感女声篇,https://vd3.bdstatic.com/mda-ig8mrb0k4jjc5ydt/sc/mda-ig8mrb0k4jjc5ydt.mp4
美亚电影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
重温经典,http://cdn3.132.us.kg/live/cwjd/stream.m3u8
TVB千禧经典,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB千禧经典,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
CCTV3,http://newtv.fun:35455/gaoma/cctv3.m3u8
CCTV17,http://newtv.fun:35455/gaoma/cctv17.m3u8
CCTV9,http://newtv.fun:35455/gaoma/cctv9.m3u8
千禧经典台(HK),http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
CCTV-13,http://newtv.fun:35455/gaoma/cctv13.m3u8
CCTV5,http://newtv.fun:35455/gaoma/cctv5.m3u8
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-20.ctv
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-1.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-14.ctv
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-10.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-15.m3u8
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-9.m3u8
CHC家庭影院,https://stream1.freetv.fun/ipv6-chcjia-ting-ying-yuan-2.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-1.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-9.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-11.ctv
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-2.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-2.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-21.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-15.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-12.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-7.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-6.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-3.m3u8
千禧经典台(HK),http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-24.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-14.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-2.ctv
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-6.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-11.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-10.m3u8
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-11.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-12.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-8.m3u8
淘电影,https://stream1.freetv.fun/ipv6-tao-dian-ying-5.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-7.m3u8
CHC动作电影,https://stream1.freetv.fun/chc-dong-zuo-dian-ying-1.ctv
千禧经典台(HK),http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571197&extension=ts&play_token=S0w0stULcO
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-11.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-2.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-12.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-7.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-10.m3u8
龙华电影,http://122.117.71.103:8555/http/61.222.53.250:8068/hls/10/80/cstv10.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
AMC电影,http://122.117.71.103:8559/http/61.222.53.250:8092/upload/115/AMC_TS-1111_1.m3u8
CCTV15,http://newtv.fun:35455/gaoma/cctv15.m3u8
AMC电影,http://104.244.79.187:5050/litv/4gtv-4gtv017
纬来电影,http://122.117.71.103:8554/http/61.222.53.250:8081/hls/69/811/ch35.m3u8
东森电影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
千禧经典台(HK),http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-13.m3u8
CCTV-1,http://newtv.fun:35455/gaoma/cctv1.m3u8
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
CCTV电影轮播,http://cdn.jdshipin.com:8880/huya.php?id=11342390
CCTV10,http://newtv.fun:35455/gaoma/cctv10.m3u8
CCTV4,http://newtv.fun:35455/gaoma/cctv4k.m3u8
CCTV-8,http://newtv.fun:35455/gaoma/cctv8k_36m.m3u8
CCTV2,http://newtv.fun:35455/gaoma/cctv2.m3u8
美亚电影台(HK),http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
电影_洪金宝,http://cdn.jdshipin.com:8880/huya.php?id=11279251
CHC影迷电影,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://qjrhc.jydjd.top:2911/udp/224.1.100.149:11111
CHC动作电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.131:11111
CHC动作电影,http://119.32.12.32:2901/udp/224.1.100.131:11111
CHC动作电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.132:11111
CCTV怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
CCTV风云剧场,http://nas.hssvm.com:8888/udp/225.1.1.185:5002
CCTV-11,http://newtv.fun:35455/gaoma/cctv11.m3u8
CCTV怀旧剧场,http://nas.hssvm.com:8888/udp/225.1.1.184:5002
CHC家庭影院,http://nas.hssvm.com:8888/udp/225.1.1.213:5002
淘电影,http://114.252.238.87:8000/udp/239.3.1.250:8001
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
福建电视剧,http://117.27.190.42:9998/tsfile/live/23287_1.m3u8?key=txiptv&playlive=1&authid=0
福建电视剧,http://117.27.190.42:9998/tsfile/live/23287_1.m3u8?key=txiptv
家庭影院,http://114.252.238.87:8000/udp/239.3.1.93:4120
经典电影,http://114.252.238.87:8000/udp/239.3.1.195:9024
福建电视剧,http://117.27.190.42:9998/tsfile/live/23287_1.m3u8
CHC影迷电影,http://hzzzz530.com:4022/udp/239.69.1.241:11088
东森电影,http://go1.bkpcp.top/tl/null-11
CCTV6,http://newtv.fun:35455/gaoma/cctv6.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-1.ctv
淘电影,https://stream1.freetv.fun/tao-dian-ying-10.ctv
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-9.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-5.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-29.m3u8
经典电影,http://183.66.15.146:60901/tsfile/live/0111_2.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-4.m3u8
家庭影院,https://stream1.freetv.fun/jia-ting-ying-yuan-12.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-1.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-10.ctv
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-19.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-6.m3u8
CCTV第一剧场,http://180.213.174.225:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-3.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-4.m3u8
美亚电影,https://stream1.freetv.fun/mei-ya-dian-ying-2.m3u8
CHC家庭影院,https://stream1.freetv.fun/chc-jia-ting-ying-yuan-1.ctv
经典电影,http://wouu.net:9977/udp/239.93.0.57:9024
CHC动作电影,http://nas.hssvm.com:8888/udp/225.1.1.215:5002
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-8.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-2.ctv
武汉二台电视剧,https://stream1.freetv.fun/wu-yi-2dian-shi-ju-1.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-17.ctv
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-14.m3u8
CHC家庭影院,http://180.213.174.225:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-16.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-5.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-32.ctv
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-14.ctv
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-6.m3u8
绍兴文化影院,https://stream1.freetv.fun/shao-xing-wen-hua-ying-yuan-1.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-2.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-22.m3u8
CCTV第一剧场,http://nas.hssvm.com:8888/udp/225.1.1.183:5002
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcgao-qing-dian-ying-5.m3u8
CHC家庭影院,https://stream1.freetv.fun/ipv6-chcjia-ting-ying-yuan-18.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-2.m3u8
家庭影院,https://stream1.freetv.fun/jia-ting-ying-yuan-4.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-15.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-5.m3u8
武汉二台电视剧,https://stream1.freetv.fun/wu-yi-er-tai-dian-shi-ju-3.ctv
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-13.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-4.m3u8
家庭影院,https://stream1.freetv.fun/jia-ting-ying-yuan-6.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-4.m3u8
CCTV第一剧场,http://60.7.56.33:4000/udp/239.253.93.138:6428
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-11.ctv
CCTV怀旧剧场,http://180.213.174.225:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-3.m3u8
CHC动作电影,http://180.213.174.225:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-gao-qing-1.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-12.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-8.m3u8
CHC动作电影,http://180.213.174.225:9901/tsfile/live/1027_1.m3u8
CHC动作电影,https://stream1.freetv.fun/ipv6-chcdong-zuo-dian-ying-18.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-4.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-3.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-9.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-17.ctv
绍兴文化影院,https://stream1.freetv.fun/shao-xing-wen-hua-ying-yuan-3.m3u8
家庭影院,https://stream1.freetv.fun/ipv6-jia-ting-ying-yuan-3.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-16.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-3.ctv
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-5.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-9.ctv
CHC影迷电影,https://stream1.freetv.fun/ipv6-chcying-mi-dian-ying-10.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-24.ctv
CHC影迷电影,https://stream1.freetv.fun/chc-gao-qing-dian-ying-1.ctv
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-5.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-21.m3u8
黑莓电影,https://epg.pw/stream/ffcb6572863f0745a7369fbd9d901f1dfd0ab8fab8bad8bebb4e01c90b303c47.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-9.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-1.m3u8
CHC影迷电影,https://stream1.freetv.fun/ipv6-chcying-mi-dian-ying-5.m3u8
家庭影院,https://stream1.freetv.fun/183c4742ee6f00b5553a0796a85f2cd8923f2792809b3028d386bc9f46a62878.m3u8
经典电影,https://ali.hlspull.yximgs.com/live/asdfg32522.flv
湖南电影,http://116.128.242.83:9901/tsfile/live/1009_1.m3u8
福建电视剧,https://stream1.freetv.fun/fu-jian-dian-shi-ju-1.m3u8
福建电视剧,https://stream1.freetv.fun/fu-jian-dian-shi-ju-6.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-3.ctv
福建电视剧,https://stream1.freetv.fun/fu-jian-dian-shi-ju-2.m3u8
TVB千禧经典,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a13-golive.flv
CCTV怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-2.m3u8
粤语版电影1,http://epg.112114.xyz/douyu/6566671
TVB千禧经典,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
湖南电视剧,http://116.128.242.83:9901/tsfile/live/0120_1.m3u8
上虞文化影院,https://stream1.freetv.fun/shang-yu-wen-hua-ying-yuan-1.m3u8
经典电影,http://ali.hlspull.yximgs.com/live/asdfg32522.flv
上虞文化影院,https://stream1.freetv.fun/shang-yu-wen-hua-ying-yuan-3.ctv
怪兽电影,http://cdn.jdshipin.com:8880/huya.php?id=21059554
CCTV5+,http://newtv.fun:35455/gaoma/cctv5p.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-4.m3u8
湖南电视剧,http://116.128.242.83:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-14.m3u8
美亚电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
美亚电影台(HK),http://ku9.fr.to/smt.php?id=meiyamovie_twn
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
上虞文化影院,https://stream1.freetv.fun/shang-yu-wen-hua-ying-yuan-4.ctv
GOODTV经典音乐河,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch6-2.m3u8
家庭影院,https://stream1.freetv.fun/jia-ting-ying-yuan-10.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-7.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-5.ctv
CHC影迷电影,http://110.53.52.63:8888/newlive/live/hls/52/live.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-dian-ying-30.m3u8
CHC动作电影,https://stream1.freetv.fun/chcdong-zuo-gao-qing-1.m3u8
CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-15.m3u8
CHC动作电影,http://110.53.52.63:8888/newlive/live/hls/53/live.m3u8
CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-8.m3u8
龙华电影,https://stream1.freetv.fun/1178a02eb676ee58293691fdc19fed767b2dc61d866c1fee41447a8503ec0253.m3u8
