卫视分类,#genre#
台视,http://iptv.diyp.tech/iptv.php?key=gat5&id=d1a92e4301097a73f284a279fcf4afbc
民视,http://iptv.diyp.tech/iptv.php?key=gat5&id=1f5cb7f8687ab60efbdb4cb4190d355b
东森超视,http://iptv.diyp.tech/iptv.php?key=gat5&id=163e6c3e3bd21f2beb6af46d4b6b9353
东森新闻,http://iptv.diyp.tech/iptv.php?key=gat5&id=287cb9ad49a87d8f3d60d2eea995be43
台视新闻,http://iptv.diyp.tech/iptv.php?key=gat5&id=39aef193cafcdc30d2b300c8729aba4b
民视台湾台,https://345iptv.com/?act=play&token=46fc090f8a6e63b6aaace480ff3c6333&tid=gt&id=67&p=0###WEB\\n
民视新闻,http://iptv.diyp.tech/iptv.php?key=gat5&id=4df8b0c41f0da56f676b2684b52a5480
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/playlist.m3u8
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
东森美洲,http://38.64.72.148/hls/modn/list/2015/chunklist0.m3u8
东森新闻,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2016/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8?
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/playlist.m3u8
东森新闻,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
三立综合,https://aktv.top/AKTV/live/aktv/null13/AKTV.m3u8
东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8?blog.ntnas.top
三立综合,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
三立新闻,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
三立新闻,http://wo.xiang.lai.ge.bi.jiao.chang.de.yu.ming.wan.wan.jie.xi.bu.zhi.dao.ke.bu.ke.xing.hk3.345888.xyz.cdn.cloudflare.net/gt/aktv.php?variable=null-14
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
三立戏剧,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799
东森新闻,http://50.7.234.10:8278/ettvnews/playlist.m3u8?tid=ME5E8863997888639978&ct=19193&tsum=6b0236441f10a7195fb35fe7997db68c
东森洋片,http://50.7.234.10:8278/ettvwestern/playlist.m3u8?tid=mfdfc048e6c2416337202&ct=17874&tsum=cad39b26202d525ea820bee1d69e545f
民视,http://108.181.20.197/livehttpplay?channel_id=20074
东森新闻,http://50.7.234.10:8278/ettvnews/playlist.m3u8?tid=m1785954e5a67&ct=18336&tsum=ce82c650c85a63fe1ead9e30f2d4bfb4
东森电影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
东森新闻,http://108.181.20.197/livehttpplay?channel_id=20082
民视新闻,http://108.181.20.197/livehttpplay?channel_id=20097
三立新闻,http://108.181.20.197/livehttpplay?channel_id=10126
东森戏剧,http://live4play.uk/livehttpplay?channel_id=20072
三立戏剧,http://live4play.uk/livehttpplay?channel_id=10125
民视,http://37.27.111.214:8080/live/6/hls.m3u8
三立新闻,http://live4play.uk/livehttpplay?channel_id=10126
台视新闻,https://live.wcetv.com/hls/master-ttvnews.m3u8
三立新闻,https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40
东森美洲,http://38.64.72.148/hls/modn/list/2016/chunklist0.m3u8
东森戏剧,http://122.117.71.103:8529/http/61.222.53.250:8081/hls/64/806/ch13.m3u8
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=217&time=20240926215313&ip=111.229.253.40
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=221&time=20240926215313&ip=111.229.253.40
东森幼幼,http://122.117.71.103:8515/http/61.222.53.250:8081/hls/63/805/ch09.m3u8
台视新闻,http://222.128.55.152:9080/live/ts.m3u8
东森综合,https://cdn.iptv8k.top/dl/jrys.php?id=220&time=20240926215313&ip=111.229.253.40
三立都会,http://108.181.20.197/livehttpplay?channel_id=20100
东森新闻,http://live4play.uk/livehttpplay?channel_id=20082
台视新闻,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ttvnews_twn/playlist.m3u8
民视台湾,http://ku9.fr.to/smt.php?id=ftvtaiwan_twn
东森新闻,https://tv.iill.top/litv/4gtv-4gtv152
民视新闻,https://tv.iill.top/litv/litv-ftv13
民视旅游,https://tv.iill.top/litv/litv-ftv07
三立新闻,https://tv.iill.top/4gtv/229
东森新闻,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv152
民视第一台,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv003
民视旅游,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv07
东森财经,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv153
民视新闻,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv13
台视财经,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv056
民视综艺,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv004
民视影剧,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv09
三立综艺,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv006
台视新闻,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv051
民视综艺,https://tv.iill.top/litv/4gtv-4gtv004
民视第一,https://tv.iill.top/litv/4gtv-4gtv003
三立综合,https://tv.iill.top/4gtv/169
民视,https://tv.iill.top/litv/4gtv-4gtv002
台视新闻,https://tv.iill.top/litv/4gtv-4gtv051
民视影剧,https://tv.iill.top/litv/litv-ftv09
民视台湾,https://tv.iill.top/litv/4gtv-4gtv001
东森财经新闻,https://tv.iill.top/litv/4gtv-4gtv153
台视新闻,http://ku9.fr.to/smt.php?id=ttvnews_twn
东森财经,https://ghp.ci/https://raw.githubusercontent.com/ChiSheng9/iptv/refs/heads/master/TV03.m3u8
三立戏剧,http://ku9.fr.to/smt.php?id=sanlixiju_twn
三立台湾,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8521/.m3u8
