卫视分类,#genre#
八大戏剧,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
三立戏剧,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?ct=19226&tid=MBDB8405357084053570&tsum=78944c0951d21a699e46fff4318a3799
中天娱乐,http://50.7.234.10:8278/ctient/playlist.m3u8?tid=MC9C7081133170811331&ct=19249&tsum=8b08b54208f3ee30e12f419d587f46ac
娱乐新闻台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
三立戏剧,http://live4play.uk/livehttpplay?channel_id=10125
中天娱乐,http://108.181.20.197/livehttpplay?channel_id=20079
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
纬来戏剧,http://122.117.71.103:8532/http/61.222.53.250:8081/hls/69/811/ch33.m3u8
东森戏剧,http://live4play.uk/livehttpplay?channel_id=20072
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧,http://122.117.71.103:8530/http/61.222.53.250:8081/hls/66/808/ch23.m3u8
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?zanhd
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
龙华戏剧,http://122.117.71.103:8533/http/61.222.53.250:8068/hls/13/80/cstv13.m3u8
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3.flv
龙游生活娱乐,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
中天娱乐,http://live4play.uk/livehttpplay?channel_id=20079
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
金牌综艺,http://dl.wifi942.com:66/jsyd/jsyd.php?id=GITV-JS-61
热门综艺,http://dl.wifi942.com:66/jsyd/jsyd.php?id=GITV-JS-16
山东综艺,http://123.129.70.178:9901/tsfile/live/1001_1.m3u8
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8?zzhed
山东综艺,http://123.132.233.194:352/tsfile/live/1000_1.m3u8
安徽综艺体育,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829415240627.m3u8
山东综艺,http://58.57.40.22:9901/tsfile/live/1021_1.m3u8
戏曲精选,http://wouu.net:9977/udp/239.93.0.144:5140
哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8?zheild
七彩戏剧,http://nas.hssvm.com:8888/udp/225.1.1.86:5002
热门综艺,http://wouu.net:9977/udp/239.93.0.151:5140
山东综艺,http://124.128.73.58:9901/tsfile/live/1002_1.m3u8
公视戏剧,https://tv.iill.top/litv/4gtv-4gtv042
山东综艺,http://124.128.73.58:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺,http://111.14.181.15:9901/tsfile/live/1004_1.m3u8?key=tvbox6_com&playlive=1&authid=0
哈尔滨娱乐,http://stream.hrbtv.net/ylpd/sd/live.m3u8
TVB娱乐新闻,http://ali.hlspull.yximgs.com/live/6425965d63a08c85ca806bfcc8c75cf4.flv
TVB娱乐新闻,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah009-golive.flv
欢乐综艺,http://huanqiuzhibo.cn/manifest/douyu.php?id=131977
三立戏剧,http://ku9.fr.to/smt.php?id=sanlixiju_twn
ELTA娱乐,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv070
龙华戏剧,https://tv.iill.top/litv/litv-longturn18
龙华戏剧,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn18
哈尔滨娱乐,https://stream.hrbtv.net/ylpd/sd/live.m3u8
